producto,ciudad,2020,2022,2023,2024,2025
Aguacate*,ARMENIA,,23.823960115835206,6.757075745922081,19.323783271420524,34.033279796351756
Aguacate*,BARRANQUILLA,,14.223752710143511,32.69447098056726,6.043749999999992,-100.0
Aguacate*,"BOGOTÁ, D.C.",,39.067836277413434,20.25244219362139,22.47449847986587,-5.924007236751083
Aguacate*,BUCARAMANGA,,63.13946418638346,17.353743487658903,34.7599996245292,-1.3529909234838988
Aguacate*,CALI,,41.7699885022125,20.167275947196075,30.43944276687689,-7.3722784619683175
Aguacate*,CARTAGENA DE INDIAS,,47.401308812379874,17.85642845906694,36.60856479606984,1.9287522603978369
Aguacate*,CÚCUTA,,15.29760637578903,-100.0,,
Aguacate*,IBAGUÉ,,56.1718919162757,14.839051264457437,32.50691950285012,-4.024604598758952
Aguacate*,MANIZALES,,54.3613855233904,7.119449140910161,37.990899780824925,8.965348938273475
Aguacate*,MEDELLÍN,,42.136395298286104,22.058055611158323,25.997968913703275,-8.19383203957832
Aguacate*,MONTERÍA,,37.836552796782975,35.449528021090224,33.50611418545648,-7.106971705736509
Aguacate*,NEIVA,,40.54070498604263,18.097245794400507,36.37207523378609,-6.348334723561166
Aguacate*,PEREIRA,,43.138486294283695,15.849236812293066,35.3376949761862,-5.495058476973025
Aguacate*,POPAYÁN,,46.16154147762281,21.054624357424736,26.754660866836886,-5.0213624089961435
Aguacate*,SAN JOSÉ DE CÚCUTA,,inf,-1.171715604292023,54.76970963040524,-5.820329853398498
Aguacate*,SINCELEJO,,45.27497149530974,17.881321245530568,12.793171804096426,12.477603191836572
Aguacate*,TUNJA,,41.11245386506781,13.875320570822591,25.648871100950863,-10.661643961927735
Aguacate*,VALLEDUPAR,,43.25561125848547,15.562869883013985,36.025864504586224,0.22802675880277956
Aguacate*,VILLAVICENCIO,,37.8592859307981,18.49126813595032,25.190159842368786,-7.998137480684619
Ahuyama,ARMENIA,,60.7388483266667,0.3528364914842097,-19.695082245689534,-2.2622356038713543
Ahuyama,BARRANQUILLA,,21.441921173935086,13.170421471261307,9.137524987253464,-35.597394507821825
Ahuyama,"BOGOTÁ, D.C.",,87.50083959543214,-10.620259572766644,-6.3965270774903775,2.3538305452041053
Ahuyama,BUCARAMANGA,,62.62202635139032,9.093265067475741,0.24954227045443922,-3.602315750157037
Ahuyama,CALI,,53.28290856738243,-3.326084719796163,-10.656363511094934,14.115496581138709
Ahuyama,CARTAGENA DE INDIAS,,54.9467323777814,-100.0,inf,-24.846317417359366
Ahuyama,CÚCUTA,,51.01405074601659,-100.0,,
Ahuyama,IBAGUÉ,,95.49208471621978,-15.302657594519575,4.354314892624056,10.78946602224422
Ahuyama,MANIZALES,,40.65109695682945,11.360297686073162,-7.772176570376699,7.172745821915649
Ahuyama,MEDELLÍN,,53.0468457363636,-4.306083037991238,-4.824202780049058,-4.437415391023647
Ahuyama,MONTERÍA,,176.05532488344986,-8.386986030496967,-1.8740583880249573,-27.35080680965104
Ahuyama,PEREIRA,,46.76717427771775,3.2866014409302924,-5.485011314218912,-1.2798285824774824
Ahuyama,POPAYÁN,,117.98506818574141,3.835303308690552,-29.30423465156,15.529298287918959
Ahuyama,SAN JOSÉ DE CÚCUTA,,inf,-19.750579473617126,4.746666863472182,-0.5006223675187882
Ahuyama,SANTA MARTA,,-100.0,,,
Ahuyama,SINCELEJO,,112.5364255838182,-19.896407171396426,5.672660905666516,-36.34462301887093
Ahuyama,TUNJA,,25.391789714124812,-6.442246889992553,19.43674393705397,-0.693621018290258
Ahuyama,VALLEDUPAR,,81.46529167307988,-14.86558060545745,14.297331080344922,-38.47314544095741
Arracacha*,ARMENIA,,62.22129648915735,37.3243455356516,-20.063936889476718,-26.332560946136997
Arracacha*,"BOGOTÁ, D.C.",,69.44238198219679,18.536155306722925,-54.34082200528736,-50.2395585636604
Arracacha*,BUCARAMANGA,,34.165259621638214,98.73218718163398,-22.824912686207945,-46.38699030150488
Arracacha*,CÚCUTA,,58.37853181026611,-100.0,,
Arracacha*,IBAGUÉ,,118.18487066253702,13.19912465347075,-52.96008134715824,-50.21469137500737
Arracacha*,MEDELLÍN,,12.28805123398098,44.53649899876897,-49.345237129020916,22.537835644064597
Arracacha*,NEIVA,,84.29117193927185,32.75182399250796,-39.04710756291083,-42.34695732689552
Arracacha*,PASTO,,209.06131280023016,-5.381638983242287,-34.0396155537776,-26.338713252465585
Arracacha*,PEREIRA,,75.63185670787942,26.372636711128948,-35.647586706075565,-26.809708924668552
Arracacha*,SAN JOSÉ DE CÚCUTA,,inf,5.770292400546495,-22.25016076970808,-30.972265946396448
Arracacha*,TUNJA,,49.38368942840861,44.11079063548107,-31.846994677990736,-25.539345250515865
Arracacha*,VALLEDUPAR,,38.0722665039744,85.38944393313115,-21.5558769893587,-14.079973974860138
Arracacha*,VILLAVICENCIO,,72.28178156502003,42.87159265659899,-29.816103222951508,-30.86313483058142
Arveja verde en vaina,ARMENIA,,46.77405215937127,1.0483649578705956,2.063758848873576,23.20838805868808
Arveja verde en vaina,BARRANQUILLA,,42.62698194679086,6.584049586166674,-7.9469429067132396,2.696526161640733
Arveja verde en vaina,"BOGOTÁ, D.C.",,70.81759726997127,-11.961484739535022,-10.698278159367657,25.560944025105293
Arveja verde en vaina,BUCARAMANGA,,60.940267069194284,8.302545075108991,-14.71944493300682,26.63169459788117
Arveja verde en vaina,CALI,,70.53436581762564,-5.162739813143046,-14.394867151261248,38.20461596168443
Arveja verde en vaina,CÚCUTA,,85.14547319857056,-100.0,,
Arveja verde en vaina,IBAGUÉ,,80.6808683097343,-10.271623116384909,-7.513730158889754,30.956624511639962
Arveja verde en vaina,MANIZALES,,77.42042820780881,3.8461142449659924,-6.8729358152118785,23.633766845958192
Arveja verde en vaina,MEDELLÍN,,66.56105745028893,-16.87786484671163,0.7097015912500559,37.99540099051553
Arveja verde en vaina,NEIVA,,85.5229443474681,-10.256940263124982,-2.5325856175795636,28.103088670840172
Arveja verde en vaina,PASTO,,94.77799460212573,-8.680280672258844,-9.341603150469291,36.33082077493701
Arveja verde en vaina,PEREIRA,,49.3900390255198,-2.2175315882497104,-3.8379120448269077,22.7724418141527
Arveja verde en vaina,POPAYÁN,,90.32316793360069,-4.698886324679929,-9.373846988605528,34.53769497282795
Arveja verde en vaina,SAN JOSÉ DE CÚCUTA,,inf,-20.261795546966653,-3.5316749099500444,22.256548636074534
Arveja verde en vaina,TUNJA,,78.20479137435126,-9.053045125364179,-7.922605596674992,16.50683469547305
Arveja verde en vaina,VILLAVICENCIO,,75.55665608811968,-1.6825396825396743,-9.947472041700411,26.42405728827104
Banano*,ARMENIA,,0.07601698397479151,12.49448570214977,22.9959073713458,24.781304378925917
Banano*,BARRANQUILLA,,61.0159856617847,23.634518502410184,-12.350569640564824,-30.036640215315845
