producto,ciudad,month,precioPromedio
Aguacate*,ARMENIA,1,7308.407407407408
Aguacate*,ARMENIA,2,4615.576923076923
Aguacate*,ARMENIA,3,5175.107142857143
Aguacate*,ARMENIA,4,4726.771428571428
Aguacate*,ARMENIA,5,4887.425
Aguacate*,ARMENIA,6,4295.302325581395
Aguacate*,ARMENIA,7,3638.3478260869565
Aguacate*,ARMENIA,8,3893.8979591836733
Aguacate*,ARMENIA,9,3858.25
Aguacate*,ARMENIA,10,5447.333333333333
Aguacate*,ARMENIA,11,5764.357142857143
Aguacate*,ARMENIA,12,6324.194444444444
Aguacate*,BARRANQUILLA,1,8000.0
Aguacate*,BARRANQUILLA,2,7324.363636363636
Aguacate*,BARRANQUILLA,3,6981.818181818182
Aguacate*,BARRANQUILLA,4,5975.0
Aguacate*,BARRANQUILLA,5,6289.846153846154
Aguacate*,BARRANQUILLA,6,5927.363636363636
Aguacate*,BARRANQUILLA,7,5571.5
Aguacate*,BARRANQUILLA,8,4617.892857142857
Aguacate*,BARRANQUILLA,9,5892.04
Aguacate*,BARRANQUILLA,10,5859.0
Aguacate*,BARRANQUILLA,11,5667.961538461538
Aguacate*,BARRANQUILLA,12,6426.7
Aguacate*,"BOGOTÁ, D.C.",1,9416.681818181818
Aguacate*,"BOGOTÁ, D.C.",2,7665.66
Aguacate*,"BOGOTÁ, D.C.",3,7750.888888888889
Aguacate*,"BOGOTÁ, D.C.",4,8574.818181818182
Aguacate*,"BOGOTÁ, D.C.",5,7139.0224719101125
Aguacate*,"BOGOTÁ, D.C.",6,5497.25
Aguacate*,"BOGOTÁ, D.C.",7,5222.772727272727
Aguacate*,"BOGOTÁ, D.C.",8,5650.786516853933
Aguacate*,"BOGOTÁ, D.C.",9,6969.690476190476
Aguacate*,"BOGOTÁ, D.C.",10,8179.494252873563
Aguacate*,"BOGOTÁ, D.C.",11,8101.186046511628
Aguacate*,"BOGOTÁ, D.C.",12,8644.275
Aguacate*,BUCARAMANGA,1,9825.05
Aguacate*,BUCARAMANGA,2,7792.892857142857
Aguacate*,BUCARAMANGA,3,7753.296875
Aguacate*,BUCARAMANGA,4,8136.178571428572
Aguacate*,BUCARAMANGA,5,6805.88679245283
Aguacate*,BUCARAMANGA,6,5336.346153846154
Aguacate*,BUCARAMANGA,7,5006.846153846154
Aguacate*,BUCARAMANGA,8,5311.0
Aguacate*,BUCARAMANGA,9,6161.702127659574
Aguacate*,BUCARAMANGA,10,8331.521739130434
Aguacate*,BUCARAMANGA,11,8618.421052631578
Aguacate*,BUCARAMANGA,12,8852.458333333334
Aguacate*,CALI,1,8572.162162162162
Aguacate*,CALI,2,7172.033333333334
Aguacate*,CALI,3,7435.421875
Aguacate*,CALI,4,8048.819672131148
Aguacate*,CALI,5,5925.907407407408
Aguacate*,CALI,6,4566.285714285715
Aguacate*,CALI,7,4310.096153846154
Aguacate*,CALI,8,4809.055555555556
Aguacate*,CALI,9,6468.82
Aguacate*,CALI,10,8012.622641509434
Aguacate*,CALI,11,7524.450980392156
Aguacate*,CALI,12,7613.152173913043
Aguacate*,CARTAGENA DE INDIAS,1,10136.0
Aguacate*,CARTAGENA DE INDIAS,2,9756.148148148148
Aguacate*,CARTAGENA DE INDIAS,3,10533.727272727272
Aguacate*,CARTAGENA DE INDIAS,4,8912.0
Aguacate*,CARTAGENA DE INDIAS,5,7000.0
Aguacate*,CARTAGENA DE INDIAS,6,5809.826086956522
Aguacate*,CARTAGENA DE INDIAS,7,5483.555555555556
Aguacate*,CARTAGENA DE INDIAS,8,5652.857142857143
Aguacate*,CARTAGENA DE INDIAS,9,6549.96
Aguacate*,CARTAGENA DE INDIAS,10,5668.266666666666
Aguacate*,CARTAGENA DE INDIAS,11,5651.545454545455
Aguacate*,CARTAGENA DE INDIAS,12,8574.933333333332
Aguacate*,CÚCUTA,2,5488.8
Aguacate*,CÚCUTA,3,5416.7037037037035
Aguacate*,CÚCUTA,4,4747.125
Aguacate*,CÚCUTA,5,4487.038461538462
Aguacate*,CÚCUTA,6,4427.923076923077
Aguacate*,CÚCUTA,7,4290.037037037037
Aguacate*,CÚCUTA,8,4221.92
Aguacate*,CÚCUTA,9,3990.346153846154
Aguacate*,CÚCUTA,10,4916.681818181818
Aguacate*,CÚCUTA,11,5992.363636363636
Aguacate*,CÚCUTA,12,5589.7692307692305
Aguacate*,IBAGUÉ,1,8187.28
Aguacate*,IBAGUÉ,2,7785.107142857143
Aguacate*,IBAGUÉ,3,7953.172413793103
Aguacate*,IBAGUÉ,4,8133.3125
Aguacate*,IBAGUÉ,5,5989.814814814815
Aguacate*,IBAGUÉ,6,4355.5
Aguacate*,IBAGUÉ,7,4074.4
Aguacate*,IBAGUÉ,8,4223.212121212121
Aguacate*,IBAGUÉ,9,5410.3
Aguacate*,IBAGUÉ,10,6969.148148148148
Aguacate*,IBAGUÉ,11,7049.333333333333
Aguacate*,IBAGUÉ,12,7321.28
Aguacate*,MANIZALES,1,7138.925925925926
Aguacate*,MANIZALES,2,6880.125
Aguacate*,MANIZALES,3,6099.96
Aguacate*,MANIZALES,4,6388.057142857143
Aguacate*,MANIZALES,5,4661.903225806452
Aguacate*,MANIZALES,6,3645.0
Aguacate*,MANIZALES,7,3679.7714285714287
Aguacate*,MANIZALES,8,4002.75
Aguacate*,MANIZALES,9,5068.4375
Aguacate*,MANIZALES,10,6253.142857142857
Aguacate*,MANIZALES,11,6045.454545454545
Aguacate*,MANIZALES,12,6368.458333333333
Aguacate*,MEDELLÍN,1,7641.8448275862065
Aguacate*,MEDELLÍN,2,6768.925531914893
Aguacate*,MEDELLÍN,3,7220.9
Aguacate*,MEDELLÍN,4,7847.38947368421
Aguacate*,MEDELLÍN,5,5661.25641025641
Aguacate*,MEDELLÍN,6,3943.6184210526317
Aguacate*,MEDELLÍN,7,3757.048780487805
Aguacate*,MEDELLÍN,8,4372.116883116883
Aguacate*,MEDELLÍN,9,6088.448717948718
Aguacate*,MEDELLÍN,10,8099.7
Aguacate*,MEDELLÍN,11,7398.875
Aguacate*,MEDELLÍN,12,7353.623188405797
Aguacate*,MONTERÍA,1,8596.181818181818
Aguacate*,MONTERÍA,2,7792.857142857143
Aguacate*,MONTERÍA,3,8798.038461538461
Aguacate*,MONTERÍA,4,9898.809523809523
Aguacate*,MONTERÍA,5,7323.214285714285
Aguacate*,MONTERÍA,6,4472.727272727273
Aguacate*,MONTERÍA,7,4427.777777777777
Aguacate*,MONTERÍA,8,4909.558823529412
Aguacate*,MONTERÍA,9,6840.608695652174
Aguacate*,MONTERÍA,10,8507.904761904761
Aguacate*,MONTERÍA,11,9245.117647058823
Aguacate*,MONTERÍA,12,8039.772727272727
Aguacate*,NEIVA,1,8925.772727272728
Aguacate*,NEIVA,2,8589.258064516129
Aguacate*,NEIVA,3,8002.5
Aguacate*,NEIVA,4,8126.166666666667
Aguacate*,NEIVA,5,6449.028571428571
Aguacate*,NEIVA,6,4913.6
Aguacate*,NEIVA,7,4586.294117647059
Aguacate*,NEIVA,8,5030.333333333333
Aguacate*,NEIVA,9,5907.882352941177
Aguacate*,NEIVA,10,7884.472222222223
Aguacate*,NEIVA,11,7410.588235294118
Aguacate*,NEIVA,12,7515.212121212121
Aguacate*,PEREIRA,1,7590.446428571428
Aguacate*,PEREIRA,2,6252.77
Aguacate*,PEREIRA,3,7049.5
Aguacate*,PEREIRA,4,7810.404494382023
Aguacate*,PEREIRA,5,5880.831325301205
Aguacate*,PEREIRA,6,4139.649350649351
Aguacate*,PEREIRA,7,3868.2289156626507
Aguacate*,PEREIRA,8,4420.035714285715
Aguacate*,PEREIRA,9,5667.01282051282
Aguacate*,PEREIRA,10,7519.384615384615
Aguacate*,PEREIRA,11,7715.210526315789
Aguacate*,PEREIRA,12,7414.901639344263
Aguacate*,POPAYÁN,1,8644.23076923077
Aguacate*,POPAYÁN,2,7101.785714285715
Aguacate*,POPAYÁN,3,7966.666666666667
Aguacate*,POPAYÁN,4,7891.7
Aguacate*,POPAYÁN,5,6462.055555555556
Aguacate*,POPAYÁN,6,4813.235294117647
Aguacate*,POPAYÁN,7,4334.722222222223
Aguacate*,POPAYÁN,8,4616.666666666667
Aguacate*,POPAYÁN,9,5884.35294117647
Aguacate*,POPAYÁN,10,7598.0
Aguacate*,POPAYÁN,11,7543.055555555556
Aguacate*,POPAYÁN,12,7401.0625
Aguacate*,SAN JOSÉ DE CÚCUTA,1,7564.0
Aguacate*,SAN JOSÉ DE CÚCUTA,2,8166.75
Aguacate*,SAN JOSÉ DE CÚCUTA,3,11386.363636363636
Aguacate*,SAN JOSÉ DE CÚCUTA,4,10169.551724137931
Aguacate*,SAN JOSÉ DE CÚCUTA,5,9110.17857142857
Aguacate*,SAN JOSÉ DE CÚCUTA,6,6772.384615384615
Aguacate*,SAN JOSÉ DE CÚCUTA,7,6139.92
Aguacate*,SAN JOSÉ DE CÚCUTA,8,5966.75
Aguacate*,SAN JOSÉ DE CÚCUTA,9,5666.692307692308
Aguacate*,SAN JOSÉ DE CÚCUTA,10,6455.823529411765
Aguacate*,SAN JOSÉ DE CÚCUTA,11,10756.384615384615
Aguacate*,SAN JOSÉ DE CÚCUTA,12,8333.272727272728
Aguacate*,SINCELEJO,1,8490.291666666666
Aguacate*,SINCELEJO,2,7537.931034482759
Aguacate*,SINCELEJO,3,7853.538461538462
Aguacate*,SINCELEJO,4,7577.470588235294
Aguacate*,SINCELEJO,5,4404.166666666667
Aguacate*,SINCELEJO,6,4386.555555555556
Aguacate*,SINCELEJO,7,4493.75
Aguacate*,SINCELEJO,8,4771.828571428571
Aguacate*,SINCELEJO,9,6181.3448275862065
Aguacate*,SINCELEJO,10,7020.833333333333
Aguacate*,SINCELEJO,11,7414.0
Aguacate*,SINCELEJO,12,8152.173913043478
Aguacate*,TUNJA,1,8386.68
Aguacate*,TUNJA,2,7648.65625
Aguacate*,TUNJA,3,7519.8
Aguacate*,TUNJA,4,7432.975
Aguacate*,TUNJA,5,6086.0
Aguacate*,TUNJA,6,4752.794117647059
Aguacate*,TUNJA,7,4580.588235294118
Aguacate*,TUNJA,8,4779.138888888889
Aguacate*,TUNJA,9,5833.28125
Aguacate*,TUNJA,10,7032.117647058823
Aguacate*,TUNJA,11,7200.735294117647
Aguacate*,TUNJA,12,7668.757575757576
Aguacate*,VALLEDUPAR,1,10994.681818181818
Aguacate*,VALLEDUPAR,2,9870.161290322581
Aguacate*,VALLEDUPAR,3,10213.333333333334
Aguacate*,VALLEDUPAR,4,10200.727272727272
Aguacate*,VALLEDUPAR,6,4400.0
Aguacate*,VALLEDUPAR,7,4843.2692307692305
Aguacate*,VALLEDUPAR,8,4973.387096774193
Aguacate*,VALLEDUPAR,9,6469.166666666667
Aguacate*,VALLEDUPAR,10,7944.2692307692305
Aguacate*,VALLEDUPAR,11,8641.68
Aguacate*,VALLEDUPAR,12,9528.57142857143
Aguacate*,VILLAVICENCIO,1,9264.923076923076
Aguacate*,VILLAVICENCIO,2,8484.78125
Aguacate*,VILLAVICENCIO,3,8657.142857142857
Aguacate*,VILLAVICENCIO,4,9022.825
Aguacate*,VILLAVICENCIO,5,7289.25
Aguacate*,VILLAVICENCIO,6,5612.911764705882
Aguacate*,VILLAVICENCIO,7,5426.777777777777
Aguacate*,VILLAVICENCIO,8,5711.194444444444
Aguacate*,VILLAVICENCIO,9,6989.088235294118
Aguacate*,VILLAVICENCIO,10,8592.542857142857
Aguacate*,VILLAVICENCIO,11,8449.685714285713
Aguacate*,VILLAVICENCIO,12,8990.433333333332
Ahuyama,ARMENIA,1,1098.0555555555557
Ahuyama,ARMENIA,2,1082.4754098360656
Ahuyama,ARMENIA,3,954.3666666666667
Ahuyama,ARMENIA,4,971.8
Ahuyama,ARMENIA,5,1005.6122448979592
Ahuyama,ARMENIA,6,1090.0697674418604
Ahuyama,ARMENIA,7,1062.4166666666667
Ahuyama,ARMENIA,8,991.2448979591836
Ahuyama,ARMENIA,9,973.56
Ahuyama,ARMENIA,10,1022.7142857142857
Ahuyama,ARMENIA,11,1031.1860465116279
Ahuyama,ARMENIA,12,1055.3829787234042
Ahuyama,BARRANQUILLA,1,940.4615384615385
Ahuyama,BARRANQUILLA,2,796.8918918918919
Ahuyama,BARRANQUILLA,3,1025.313725490196
Ahuyama,BARRANQUILLA,4,799.0961538461538
Ahuyama,BARRANQUILLA,5,937.26
Ahuyama,BARRANQUILLA,6,1174.125
Ahuyama,BARRANQUILLA,7,1368.3170731707316
Ahuyama,BARRANQUILLA,8,943.7948717948718
Ahuyama,BARRANQUILLA,9,993.6842105263158
Ahuyama,BARRANQUILLA,10,1037.025641025641
Ahuyama,BARRANQUILLA,11,999.1025641025641
Ahuyama,BARRANQUILLA,12,947.2666666666667
Ahuyama,"BOGOTÁ, D.C.",1,1926.969696969697
Ahuyama,"BOGOTÁ, D.C.",2,1410.88
Ahuyama,"BOGOTÁ, D.C.",3,1343.7685185185185
Ahuyama,"BOGOTÁ, D.C.",4,1406.784946236559
Ahuyama,"BOGOTÁ, D.C.",5,1395.112359550562
Ahuyama,"BOGOTÁ, D.C.",6,1627.9259259259259
Ahuyama,"BOGOTÁ, D.C.",7,1687.3103448275863
Ahuyama,"BOGOTÁ, D.C.",8,1625.0
Ahuyama,"BOGOTÁ, D.C.",9,1655.1785714285713
Ahuyama,"BOGOTÁ, D.C.",10,1785.5977011494253
Ahuyama,"BOGOTÁ, D.C.",11,1898.3372093023256
Ahuyama,"BOGOTÁ, D.C.",12,1818.95
Ahuyama,BUCARAMANGA,1,1394.5526315789473
Ahuyama,BUCARAMANGA,2,1121.6101694915253
Ahuyama,BUCARAMANGA,3,1101.7377049180327
Ahuyama,BUCARAMANGA,4,1024.1666666666667
Ahuyama,BUCARAMANGA,5,951.4423076923077
Ahuyama,BUCARAMANGA,6,983.25
Ahuyama,BUCARAMANGA,7,1113.75
Ahuyama,BUCARAMANGA,8,1100.0192307692307
Ahuyama,BUCARAMANGA,9,1078.3265306122448
Ahuyama,BUCARAMANGA,10,1000.156862745098
Ahuyama,BUCARAMANGA,11,1034.08
Ahuyama,BUCARAMANGA,12,1100.875
Ahuyama,CALI,1,1370.4324324324325
Ahuyama,CALI,2,1048.9344262295083
Ahuyama,CALI,3,976.03125
Ahuyama,CALI,4,962.1639344262295
Ahuyama,CALI,5,950.7777777777778
Ahuyama,CALI,6,1056.3673469387754
Ahuyama,CALI,7,1130.423076923077
Ahuyama,CALI,8,1101.5740740740741
Ahuyama,CALI,9,983.28
Ahuyama,CALI,10,1059.0188679245282
Ahuyama,CALI,11,1188.764705882353
Ahuyama,CALI,12,1243.5869565217392
Ahuyama,CARTAGENA DE INDIAS,1,1250.25
Ahuyama,CARTAGENA DE INDIAS,2,1177.888888888889
Ahuyama,CARTAGENA DE INDIAS,3,1348.857142857143
Ahuyama,CARTAGENA DE INDIAS,4,1033.7142857142858
Ahuyama,CARTAGENA DE INDIAS,5,1181.8181818181818
Ahuyama,CARTAGENA DE INDIAS,6,1363.6363636363637
Ahuyama,CARTAGENA DE INDIAS,7,1400.0
Ahuyama,CARTAGENA DE INDIAS,8,1253.8181818181818
Ahuyama,CARTAGENA DE INDIAS,9,940.0
Ahuyama,CARTAGENA DE INDIAS,10,1352.75
Ahuyama,CARTAGENA DE INDIAS,11,1284.15
Ahuyama,CARTAGENA DE INDIAS,12,1295.5555555555557
Ahuyama,CÚCUTA,2,1092.0434782608695
Ahuyama,CÚCUTA,3,946.2962962962963
Ahuyama,CÚCUTA,4,944.5
Ahuyama,CÚCUTA,5,950.0
Ahuyama,CÚCUTA,6,1009.9230769230769
Ahuyama,CÚCUTA,7,1164.148148148148
Ahuyama,CÚCUTA,8,1213.68
Ahuyama,CÚCUTA,9,1225.111111111111
Ahuyama,CÚCUTA,10,1249.28
Ahuyama,CÚCUTA,11,1321.04
Ahuyama,CÚCUTA,12,948.6923076923077
Ahuyama,IBAGUÉ,1,1528.7916666666667
Ahuyama,IBAGUÉ,2,1307.4285714285713
Ahuyama,IBAGUÉ,3,1166.9655172413793
Ahuyama,IBAGUÉ,4,1244.8387096774193
Ahuyama,IBAGUÉ,5,1167.888888888889
Ahuyama,IBAGUÉ,6,1169.96
Ahuyama,IBAGUÉ,7,1222.68
Ahuyama,IBAGUÉ,8,1288.909090909091
Ahuyama,IBAGUÉ,9,1292.5666666666666
Ahuyama,IBAGUÉ,10,1484.4333333333334
Ahuyama,IBAGUÉ,11,1571.4
Ahuyama,IBAGUÉ,12,1501.1724137931035
Ahuyama,MANIZALES,1,1806.1851851851852
Ahuyama,MANIZALES,2,1568.090909090909
Ahuyama,MANIZALES,3,1479.9142857142858
Ahuyama,MANIZALES,4,1386.2564102564102
Ahuyama,MANIZALES,5,1319.8857142857144
Ahuyama,MANIZALES,6,1335.0
Ahuyama,MANIZALES,7,1391.942857142857
Ahuyama,MANIZALES,8,1346.9166666666667
Ahuyama,MANIZALES,9,1262.264705882353
Ahuyama,MANIZALES,10,1313.611111111111
Ahuyama,MANIZALES,11,1478.0
Ahuyama,MANIZALES,12,1518.5555555555557
Ahuyama,MEDELLÍN,1,1064.2857142857142
Ahuyama,MEDELLÍN,2,889.8
Ahuyama,MEDELLÍN,3,866.4215686274509
Ahuyama,MEDELLÍN,4,874.1530612244898
Ahuyama,MEDELLÍN,5,813.5975609756098
Ahuyama,MEDELLÍN,6,883.7922077922078
Ahuyama,MEDELLÍN,7,905.3536585365854
Ahuyama,MEDELLÍN,8,937.9876543209876
Ahuyama,MEDELLÍN,9,901.2289156626506
Ahuyama,MEDELLÍN,10,957.710843373494
Ahuyama,MEDELLÍN,11,995.5128205128206
Ahuyama,MEDELLÍN,12,1011.3896103896104
Ahuyama,MONTERÍA,1,1119.7916666666667
Ahuyama,MONTERÍA,2,993.7931034482758
Ahuyama,MONTERÍA,3,1152.9130434782608
Ahuyama,MONTERÍA,4,1097.9032258064517
Ahuyama,MONTERÍA,5,1054.0
Ahuyama,MONTERÍA,6,1403.3333333333333
Ahuyama,MONTERÍA,7,1728.8947368421052
Ahuyama,MONTERÍA,8,1245.0384615384614
Ahuyama,MONTERÍA,9,915.0
Ahuyama,MONTERÍA,10,1133.878787878788
Ahuyama,MONTERÍA,11,1046.857142857143
Ahuyama,MONTERÍA,12,917.741935483871
Ahuyama,PEREIRA,1,1482.016129032258
Ahuyama,PEREIRA,2,1368.05
Ahuyama,PEREIRA,3,1281.9117647058824
Ahuyama,PEREIRA,4,1276.2142857142858
Ahuyama,PEREIRA,5,1255.7261904761904
Ahuyama,PEREIRA,6,1256.064935064935
Ahuyama,PEREIRA,7,1327.5833333333333
Ahuyama,PEREIRA,8,1360.154761904762
Ahuyama,PEREIRA,9,1305.2261904761904
Ahuyama,PEREIRA,10,1309.0853658536585
Ahuyama,PEREIRA,11,1351.871794871795
Ahuyama,PEREIRA,12,1362.367088607595
Ahuyama,POPAYÁN,1,1790.0
Ahuyama,POPAYÁN,2,1516.25
Ahuyama,POPAYÁN,3,1507.2222222222222
Ahuyama,POPAYÁN,4,1405.75
Ahuyama,POPAYÁN,5,1327.2222222222222
Ahuyama,POPAYÁN,6,1261.1764705882354
Ahuyama,POPAYÁN,7,1295.8333333333333
Ahuyama,POPAYÁN,8,1320.5555555555557
Ahuyama,POPAYÁN,9,1240.8823529411766
Ahuyama,POPAYÁN,10,1242.6470588235295
