producto,ciudad,trend_slope,p,d,q
Aguacate*,ARMENIA,0.0,0.0,1.0,0.0
Aguacate*,BARRANQUILLA,32.0,0.0,1.0,0.0
Aguacate*,"BOGOTÁ, D.C.",13.849098908298402,1.0,1.0,1.0
Aguacate*,BUCARAMANGA,0.0,0.0,1.0,0.0
Aguacate*,CALI,342.3660605909736,6.0,1.0,1.0
Aguacate*,CARTAGENA DE INDIAS,0.0,0.0,1.0,0.0
Aguacate*,CÚCUTA,0.0,0.0,1.0,0.0
Aguacate*,IBAGUÉ,0.0,1.0,1.0,0.0
Aguacate*,MANIZALES,-77.73746811093406,1.0,1.0,1.0
Aguacate*,MEDELLÍN,-7.500928682586164,4.0,1.0,1.0
Aguacate*,MONTERÍA,0.0,0.0,1.0,0.0
Aguacate*,NEIVA,114.40007259184131,3.0,1.0,2.0
Aguacate*,PEREIRA,159.016196847022,5.0,1.0,1.0
Aguacate*,POPAYÁN,121.31167523139811,2.0,1.0,2.0
Aguacate*,SAN JOSÉ DE CÚCUTA,0.0,0.0,1.0,0.0
Aguacate*,SINCELEJO,0.0,0.0,1.0,0.0
Aguacate*,TUNJA,-26.431218326491035,5.0,1.0,0.0
Aguacate*,VALLEDUPAR,0.0,0.0,1.0,0.0
Aguacate*,VILLAVICENCIO,-95.60341375322241,3.0,1.0,1.0
Ahuyama,ARMENIA,-0.2622576113916466,5.0,1.0,1.0
Ahuyama,BARRANQUILLA,-0.5876553069202828,3.0,1.0,1.0
Ahuyama,"BOGOTÁ, D.C.",9.387911024470668,0.0,1.0,1.0
Ahuyama,BUCARAMANGA,0.0,0.0,1.0,0.0
Ahuyama,CALI,-26.125688325261763,3.0,1.0,1.0
Ahuyama,CARTAGENA DE INDIAS,5.9421308975327065,1.0,0.0,0.0
Ahuyama,CÚCUTA,0.0,0.0,1.0,0.0
Ahuyama,IBAGUÉ,-27.008795425807648,0.0,1.0,1.0
Ahuyama,MANIZALES,0.0,0.0,1.0,0.0
Ahuyama,MEDELLÍN,0.15582947060818242,1.0,1.0,1.0
Ahuyama,MONTERÍA,-15.386384473550038,7.0,1.0,4.0
Ahuyama,PEREIRA,-22.80050838319903,8.0,1.0,0.0
Ahuyama,POPAYÁN,0.0,0.0,1.0,0.0
Ahuyama,SAN JOSÉ DE CÚCUTA,10.310296653492287,2.0,0.0,0.0
Ahuyama,SANTA MARTA,-857.0,0.0,0.0,0.0
Ahuyama,SINCELEJO,12.260666781621126,1.0,0.0,1.0
Ahuyama,TUNJA,-3.866787010255962,4.0,1.0,0.0
Ahuyama,VALLEDUPAR,31.054778748350373,3.0,0.0,1.0
Arracacha*,ARMENIA,-0.11817576353837467,0.0,1.0,1.0
Arracacha*,"BOGOTÁ, D.C.",38.37957114401274,2.0,1.0,2.0
Arracacha*,BUCARAMANGA,-5.852187280806447,3.0,1.0,2.0
Arracacha*,CÚCUTA,184.94193165478055,2.0,1.0,2.0
Arracacha*,IBAGUÉ,10.878076113245584,0.0,1.0,1.0
Arracacha*,MEDELLÍN,-10.598328213127843,6.0,1.0,1.0
Arracacha*,NEIVA,12.909089857214212,0.0,1.0,1.0
Arracacha*,PASTO,-0.14087528680704509,0.0,1.0,3.0
Arracacha*,PEREIRA,107.30794380526117,6.0,1.0,3.0
Arracacha*,SAN JOSÉ DE CÚCUTA,36.30454086151303,2.0,1.0,2.0
Arracacha*,TUNJA,-17.017764484402733,3.0,1.0,1.0
Arracacha*,VALLEDUPAR,283.5404168847235,0.0,1.0,1.0
Arracacha*,VILLAVICENCIO,44.60560468278936,4.0,1.0,0.0
Arveja verde en vaina,ARMENIA,-207.92089481934272,4.0,1.0,0.0
Arveja verde en vaina,BARRANQUILLA,287.2335183447685,6.0,1.0,0.0
Arveja verde en vaina,"BOGOTÁ, D.C.",61.88910609266895,2.0,1.0,1.0
Arveja verde en vaina,BUCARAMANGA,432.8364524231065,0.0,1.0,3.0
Arveja verde en vaina,CALI,216.80506382673775,4.0,1.0,0.0
Arveja verde en vaina,CÚCUTA,-56.74506580005618,5.0,1.0,0.0
Arveja verde en vaina,IBAGUÉ,460.33653942987075,4.0,0.0,1.0
Arveja verde en vaina,MANIZALES,367.07225574230597,0.0,1.0,2.0
Arveja verde en vaina,MEDELLÍN,187.7424706611455,2.0,1.0,2.0
Arveja verde en vaina,NEIVA,1076.6854543749396,5.0,1.0,0.0
Arveja verde en vaina,PASTO,0.0,0.0,1.0,0.0
Arveja verde en vaina,PEREIRA,231.0283136980206,3.0,1.0,2.0
Arveja verde en vaina,POPAYÁN,547.5501956407406,1.0,1.0,0.0
Arveja verde en vaina,SAN JOSÉ DE CÚCUTA,412.3667694694177,4.0,0.0,0.0
Arveja verde en vaina,TUNJA,690.6437701242157,3.0,1.0,0.0
Arveja verde en vaina,VILLAVICENCIO,808.2794011564283,0.0,1.0,1.0
Banano*,ARMENIA,-3.8354621085641156,2.0,1.0,1.0
Banano*,BARRANQUILLA,17.152642086643027,2.0,1.0,0.0
Banano*,"BOGOTÁ, D.C.",81.98837629582158,0.0,1.0,1.0
Banano*,BUCARAMANGA,0.0,0.0,1.0,0.0
Banano*,CALI,-130.341872628489,5.0,1.0,0.0
Banano*,CÚCUTA,-25.768550433731434,1.0,1.0,2.0
Banano*,IBAGUÉ,-113.3098073430051,0.0,1.0,2.0
Banano*,MANIZALES,-35.73775438608436,5.0,1.0,0.0
Banano*,MEDELLÍN,3.444600184878709,5.0,1.0,0.0
Banano*,MONTERÍA,0.0,5.0,1.0,0.0
Banano*,NEIVA,0.7191624570691602,1.0,1.0,1.0
Banano*,PEREIRA,-82.32418977623774,8.0,1.0,0.0
Banano*,POPAYÁN,6.526024823004491,2.0,1.0,0.0
Banano*,SAN JOSÉ DE CÚCUTA,-20.107532201437607,1.0,1.0,1.0
Banano*,SANTA MARTA,0.5839042062898443,0.0,1.0,1.0
Banano*,SINCELEJO,0.0,0.0,1.0,0.0
Banano*,TUNJA,7.619016519664456,0.0,1.0,1.0
Banano*,VALLEDUPAR,-0.6394384811782174,1.0,0.0,0.0
Banano*,VILLAVICENCIO,0.0,0.0,1.0,0.0
Cebolla cabezona blanca,ARMENIA,0.0016125467000165372,0.0,1.0,1.0
Cebolla cabezona blanca,BARRANQUILLA,0.0,0.0,1.0,0.0
Cebolla cabezona blanca,"BOGOTÁ, D.C.",12.230327299603005,3.0,1.0,0.0
Cebolla cabezona blanca,BUCARAMANGA,0.0,0.0,1.0,0.0
Cebolla cabezona blanca,CALI,27.92815468776371,6.0,1.0,0.0
Cebolla cabezona blanca,CARTAGENA DE INDIAS,17.479501436881037,1.0,0.0,0.0
Cebolla cabezona blanca,CÚCUTA,35.0351404434864,5.0,1.0,0.0
Cebolla cabezona blanca,IBAGUÉ,-31.410804796801585,2.0,1.0,0.0
Cebolla cabezona blanca,MANIZALES,-17.77388280604464,2.0,0.0,0.0
Cebolla cabezona blanca,MEDELLÍN,-2.625654602675695,4.0,1.0,0.0
Cebolla cabezona blanca,MONTERÍA,-8.458291267756977,1.0,0.0,0.0
Cebolla cabezona blanca,PASTO,6.204763873699449,2.0,1.0,0.0
Cebolla cabezona blanca,PEREIRA,-50.47307751348899,5.0,1.0,0.0
Cebolla cabezona blanca,POPAYÁN,-22.08285660790216,1.0,0.0,0.0
Cebolla cabezona blanca,SAN JOSÉ DE CÚCUTA,0.0,0.0,1.0,0.0
Cebolla cabezona blanca,SANTA MARTA,13.405552808723769,1.0,1.0,0.0
Cebolla cabezona blanca,SINCELEJO,-3.5403290156418734,0.0,1.0,1.0
Cebolla cabezona blanca,TUNJA,0.0,0.0,1.0,0.0
Cebolla cabezona blanca,VALLEDUPAR,8.536734739407166,5.0,0.0,2.0
Cebolla cabezona blanca,VILLAVICENCIO,-6.492110186609807,2.0,0.0,1.0
