codProducto,producto
26,Piña *
27,Tomate de árbol
28,Arracacha*
29,Papa negra*
30,Papa criolla
32,Plátano hartón verde
33,Yuca*
1,Ahuyama
2,Arveja verde en vaina
3,Cebolla cabezona blanca
4,Cebolla junca
5,Chócolo mazorca
6,Habichuela
7,Pepino cohombro
8,Pimentón
9,Remolacha
10,Tomate*
11,Zanahoria
13,Banano*
14,Coco
15,Granadilla
16,Guayaba*
17,Limón Común
18,Limón Tahití
19,Lulo
20,Mandarina*
21,Mango tommy
22,Maracuyá
23,Mora de Castilla
25,Papaya maradol
24,Naranja*
12,Aguacate*
31,Plátano guineo
