,artiId,artiNombre
0,351,Bocadillo veleño
1,245,Huevo rojo B
2,246,Huevo rojo A
3,247,Huevo rojo AA
4,248,Huevo rojo extra
5,15,Repollo morado
6,64,Calabaza
7,17,Repollo verde
8,1,Acelga
9,70,Rábano rojo
10,74,Ahuyamín (Sakata)
11,57,Ahuyama
12,2,Apio
13,185,Plátano guineo
14,146,Piña perolera
15,63,Calabacín
16,140,Patilla
17,66,Cidra
18,370,Sal yodada
19,179,Papa única
20,172,Papa rubí
21,86,Naranja Valencia
22,5893,Naranja Sweet
23,112,Guayaba pera
24,43,Habichuela
25,42,Haba verde
26,76,Limón común
27,65,Chócolo mazorca
28,170,Papa R-12 roja
29,93,Banano criollo
30,94,Banano Urabá
31,162,Papa superior
32,113,Gulupa
33,169,Papa R-12 negra
34,167,Papa parda pastusa
35,226,Maíz amarillo cáscara
36,54,Zanahoria
37,8,Lechuga Batavia
38,100,Curuba
39,45,Tomate chonto
40,194,Yuca llanera
41,10,Lechuga crespa verde
42,92,Banano bocadillo
43,24,Cebolla cabezona roja
44,134,Melón Cantalup
45,18,Cebolla cabezona blanca
46,71,Remolacha
47,5,Coles
48,183,Patilla baby
49,6100,Papaya Paulina
50,144,Piña gold
51,231,Maíz blanco trillado
52,68,Pepino de rellenar
53,6,Coliflor
54,149,Uchuva con cáscara
55,34,Cebolla puerro
56,98,Ciruela roja
57,148,Tomate de árbol
58,344,Panela cuadrada morena
59,195,Arracacha amarilla
60,7,Espinaca
61,188,Plátano hartón verde ecuatoriano
62,67,Pepino cohombro
63,6002,Papaya tainung
64,48,Tomate larga vida
65,202,Arroz de segunda
66,201,Arroz de primera
67,362,Harina de trigo
68,117,Mango común
69,173,Papa sabanera
70,125,Manzana nacional
71,81,Limón Tahití
72,99,Coco
73,161,Papa criolla sucia
74,133,Maracuyá
75,207,Arveja verde seca importada
76,348,Azúcar sulfitada
77,151,Uva Isabela
78,363,Harina precocida de maíz
79,107,Guanábana
80,30,Cebolla junca Aquitania
81,116,Lulo
82,186,Plátano hartón maduro
83,187,Plátano hartón verde
84,233,Maíz pira
85,95,Borojó
86,62,Berenjena
87,159,Papa criolla limpia
88,135,Mora de Castilla
89,4,Cilantro
90,189,Plátano hartón verde llanero
91,40,Fríjol verde cargamanto
92,89,Aguacate Hass
93,87,Tangelo
94,124,Mango Tommy
95,82,Mandarina Arrayana
96,3,Brócoli
97,38,Arveja verde en vaina pastusa
98,142,Pera nacional
99,69,Pimentón
