producto,ciudad,mes,precioPromedio
aguacate*,armenia,1,6983.0
aguacate*,armenia,2,4866.666666666667
aguacate*,armenia,3,4911.333333333333
aguacate*,armenia,4,4274.222222222223
aguacate*,armenia,5,4563.4
aguacate*,armenia,6,3964.0
aguacate*,armenia,7,3394.090909090909
aguacate*,armenia,8,3573.4
aguacate*,armenia,9,3888.6666666666665
aguacate*,armenia,10,6417.0
aguacate*,armenia,11,5367.0
aguacate*,armenia,12,5950.166666666667
aguacate*,barranquilla,2,7283.0
aguacate*,barranquilla,3,6673.4
aguacate*,barranquilla,4,5941.5
aguacate*,barranquilla,5,6200.0
aguacate*,barranquilla,6,5928.571428571428
aguacate*,barranquilla,7,5747.571428571428
aguacate*,barranquilla,8,4753.777777777777
aguacate*,barranquilla,9,5853.3
aguacate*,barranquilla,10,5666.7
aguacate*,barranquilla,11,5446.076923076923
aguacate*,barranquilla,12,5646.6
aguacate*,"bogotá, d.c.",1,8941.0
aguacate*,"bogotá, d.c.",2,7671.179487179487
aguacate*,"bogotá, d.c.",3,7197.725
aguacate*,"bogotá, d.c.",4,8031.151515151515
aguacate*,"bogotá, d.c.",5,7263.959183673469
aguacate*,"bogotá, d.c.",6,5672.023255813953
aguacate*,"bogotá, d.c.",7,5184.117647058823
aguacate*,"bogotá, d.c.",8,5809.535714285715
aguacate*,"bogotá, d.c.",9,6424.0344827586205
aguacate*,"bogotá, d.c.",10,8098.925925925926
aguacate*,"bogotá, d.c.",11,7923.424242424242
aguacate*,"bogotá, d.c.",12,8622.030303030304
aguacate*,bucaramanga,1,8791.5
aguacate*,bucaramanga,2,8708.25
aguacate*,bucaramanga,3,6609.818181818182
aguacate*,bucaramanga,4,6217.555555555556
aguacate*,bucaramanga,5,6687.538461538462
aguacate*,bucaramanga,6,4205.555555555556
aguacate*,bucaramanga,7,4762.555555555556
aguacate*,bucaramanga,8,3837.5
aguacate*,bucaramanga,9,5716.5
aguacate*,bucaramanga,11,8250.0
aguacate*,bucaramanga,12,9573.0
aguacate*,cali,1,8172.619047619048
aguacate*,cali,2,7302.423076923077
aguacate*,cali,3,7133.551724137931
aguacate*,cali,4,8159.137931034483
aguacate*,cali,5,5737.138888888889
aguacate*,cali,6,4302.923076923077
aguacate*,cali,7,4336.555555555556
aguacate*,cali,8,4709.625
aguacate*,cali,9,5691.1875
aguacate*,cali,10,8289.904761904761
aguacate*,cali,11,7531.826086956522
aguacate*,cali,12,7395.055555555556
aguacate*,cartagena de indias,1,9602.363636363636
aguacate*,cartagena de indias,2,9464.285714285714
aguacate*,cartagena de indias,3,10267.857142857143
aguacate*,cartagena de indias,4,9166.666666666666
aguacate*,cartagena de indias,5,7333.0
aguacate*,cartagena de indias,6,5382.545454545455
aguacate*,cartagena de indias,7,5184.375
aguacate*,cartagena de indias,8,5387.5
aguacate*,cartagena de indias,9,6135.25
aguacate*,cartagena de indias,10,5175.0
aguacate*,cartagena de indias,11,10667.0
aguacate*,cartagena de indias,12,7854.166666666667
aguacate*,cúcuta,2,5333.4
aguacate*,cúcuta,3,5231.555555555556
aguacate*,cúcuta,4,4442.857142857143
aguacate*,cúcuta,5,4444.333333333333
aguacate*,cúcuta,6,4217.666666666667
aguacate*,cúcuta,7,4106.0
aguacate*,cúcuta,8,4140.0
aguacate*,cúcuta,9,3875.0
aguacate*,cúcuta,10,4669.333333333333
aguacate*,cúcuta,11,5666.5
aguacate*,cúcuta,12,5500.2
aguacate*,ibagué,1,7618.083333333333
aguacate*,ibagué,2,7522.0
aguacate*,ibagué,3,6757.692307692308
aguacate*,ibagué,4,7644.2307692307695
aguacate*,ibagué,5,5889.357142857143
aguacate*,ibagué,6,4099.533333333334
aguacate*,ibagué,7,3973.153846153846
aguacate*,ibagué,8,4001.923076923077
aguacate*,ibagué,9,4946.5
aguacate*,ibagué,10,6344.727272727273
aguacate*,ibagué,11,7194.416666666667
aguacate*,ibagué,12,7148.714285714285
aguacate*,manizales,1,6916.714285714285
aguacate*,manizales,2,6250.0
aguacate*,manizales,3,6241.6
aguacate*,manizales,4,7100.0
aguacate*,manizales,5,4238.4
aguacate*,manizales,6,4041.6
aguacate*,manizales,7,3432.4444444444443
aguacate*,manizales,8,3075.0
aguacate*,manizales,9,3458.5
aguacate*,manizales,10,5161.0
aguacate*,manizales,11,6925.0
aguacate*,manizales,12,6843.75
aguacate*,medellín,1,7103.068965517241
aguacate*,medellín,2,5962.555555555556
aguacate*,medellín,3,6800.277777777777
aguacate*,medellín,4,7235.975
aguacate*,medellín,5,5896.931818181818
aguacate*,medellín,6,3783.8823529411766
aguacate*,medellín,7,3907.542857142857
aguacate*,medellín,8,4394.833333333333
aguacate*,medellín,9,6482.375
aguacate*,medellín,10,8481.727272727272
aguacate*,medellín,11,7997.592592592592
aguacate*,medellín,12,7152.966666666666
aguacate*,montería,1,8082.545454545455
aguacate*,montería,2,7700.0
aguacate*,montería,3,9041.625
aguacate*,montería,4,11888.666666666666
aguacate*,montería,5,7227.083333333333
aguacate*,montería,6,4525.0
aguacate*,montería,7,3983.9285714285716
aguacate*,montería,8,4031.25
aguacate*,montería,9,5833.333333333333
aguacate*,montería,10,6444.333333333333
aguacate*,montería,11,9385.5
aguacate*,montería,12,7856.25
aguacate*,neiva,1,8445.75
aguacate*,neiva,2,7796.153846153846
aguacate*,neiva,3,7424.5625
aguacate*,neiva,4,8044.923076923077
aguacate*,neiva,5,6509.875
aguacate*,neiva,6,4459.277777777777
aguacate*,neiva,7,4345.45
aguacate*,neiva,8,4515.333333333333
aguacate*,neiva,9,5604.545454545455
aguacate*,neiva,10,7511.4375
aguacate*,neiva,11,7413.714285714285
aguacate*,neiva,12,7139.705882352941
aguacate*,pereira,1,7382.137931034483
aguacate*,pereira,2,6587.055555555556
aguacate*,pereira,3,6718.5526315789475
aguacate*,pereira,4,7723.371428571429
aguacate*,pereira,5,5936.468085106383
aguacate*,pereira,6,3973.225
aguacate*,pereira,7,3610.05
aguacate*,pereira,8,4225.8125
aguacate*,pereira,9,5035.185185185185
aguacate*,pereira,10,8805.76923076923
aguacate*,pereira,11,7869.0
aguacate*,pereira,12,7219.148148148148
aguacate*,popayán,1,8250.0
aguacate*,popayán,2,6475.0
aguacate*,popayán,3,8311.5
aguacate*,popayán,4,5765.0
aguacate*,popayán,5,6309.0
aguacate*,popayán,6,4859.615384615385
aguacate*,popayán,7,4361.111111111111
aguacate*,popayán,8,4391.666666666667
aguacate*,popayán,10,11025.0
aguacate*,popayán,11,8225.0
aguacate*,popayán,12,7165.0
aguacate*,san josé de cúcuta,2,7667.0
aguacate*,san josé de cúcuta,3,11500.0
aguacate*,san josé de cúcuta,4,9812.375
aguacate*,san josé de cúcuta,5,8814.666666666666
aguacate*,san josé de cúcuta,6,6231.444444444444
aguacate*,san josé de cúcuta,7,6000.0
aguacate*,san josé de cúcuta,8,5291.5
aguacate*,san josé de cúcuta,9,5444.666666666667
aguacate*,san josé de cúcuta,10,7069.333333333333
aguacate*,san josé de cúcuta,11,10791.5
aguacate*,san josé de cúcuta,12,8618.857142857143
aguacate*,sincelejo,1,8303.57142857143
aguacate*,sincelejo,2,7711.7
aguacate*,sincelejo,3,7055.555555555556
aguacate*,sincelejo,4,7884.375
aguacate*,sincelejo,5,4150.0
aguacate*,sincelejo,6,4572.875
aguacate*,sincelejo,7,4253.125
aguacate*,sincelejo,8,4384.2
aguacate*,sincelejo,9,7179.166666666667
aguacate*,sincelejo,10,7066.666666666667
